Campus,Dorm_Name,URL,Elevator,Type,Number_Students,Floors,Average_Room_Size,Availability,Contract_Type
Busch,Allen Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/allen-hall,No,Traditional Hall,217,4,216,First-Year,Undergraduate Academic Year (Two semesters)
Busch,Barr Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/barr-hall,No,Traditional Hall,220,4,216,First-Year,Undergraduate Academic Year (Two semesters)
Busch,B.E.S.T Neighborhood,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/best-neighborhood,Yes,Suites,499,4,273,First-Year,Undergraduate Academic Year (Two semesters)
Busch,Buell Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/buell-apartments,No,Apartments,348,3,135,Graduate,"Graduate Academic Year Two Semesters 9-month – Open During University Breaks, Graduate Full Calendar Year 12-month – Open During University Breaks"
Busch,Crosby Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/crosby-suites,Yes,Suites,177,4,216,Continuing,Undergraduate Academic Year (Two semesters)
Busch,Johnson Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/johnson-apartments,No,Apartments,136,2,110,Graduate,Graduate Full Calendar Year 12-month – Open During University Breaks
Busch,Judson Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/judson-suites,Yes,Suites,177,4,216,Continuing,Undergraduate Academic Year (Two semesters)
Busch,Marvin Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/marvin-apartments,No,Apartments,100,3,165,Living with Families,Family Apartments – Monthly Rent – Open During University Breaks
Busch,Mattia Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mattia-hall,No,Traditional Hall,221,4,216,First-Year,Undergraduate Academic Year (Two semesters)
Busch,McCormick Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mccormick-suites,Yes,Suites,288,10,216,"Continuing, First-Year, Honors",Undergraduate Academic Year (Two semesters)
Busch,Metzger Hall,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/metzger-hall,No,Traditional Hall,220,4,216,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Busch,Morrow Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/morrow-suites,No,Suites,177,4,216,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Busch,Nichols Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/nichols-apartments,No,Apartments,237,3,198,Continuing,"Family Apartments – Monthly Rent – Open During University Breaks, Undergraduate Academic Year (Two semesters)"
Busch,Richardson Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/richardson-apartments,No,Apartments,522,3,198,Continuing,Undergraduate Academic Year (Two semesters)
Busch,Silvers Apartments,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/silvers-apartments,No,Apartments,475,4,192,Continuing,Undergraduate Academic Year (Two semesters)
Busch,Thomas Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/thomas-suites,Yes,Suites,177,4,216,Continuing,Undergraduate Academic Year (Two semesters)
Busch,Winkler Suites,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/winkler-suites,Yes,Suites,177,4,216,Continuing,Undergraduate Academic Year (Two semesters)
Livingston,Livingston Apartments,https://ruoncampus.rutgers.edu/living-on-campus/livingston/livingston-apartments,Yes,Apartments,1488,Up to 7,Varies,"Continuing, Graduate","Graduate Academic Year Two Semesters 9-month – Open During University Breaks, Graduate Full Calendar Year 12-month – Open During University Breaks, Undergraduate Academic Year (Two Semesters 9-Month)"
Livingston,Lynton Towers North,https://ruoncampus.rutgers.edu/living-on-campus/livingston/lynton-towers-north,Yes,Traditional Hall,343,7,Varies,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Livingston,Lynton Towers South,https://ruoncampus.rutgers.edu/living-on-campus/livingston/lynton-towers-south,Yes,Traditional Hall,343,7,Varies,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Livingston,Quad I,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-i,No,Traditional Hall,468,5,210,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Livingston,Quad II,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-ii,No,Traditional Hall,505,5,210,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
