Campus,Dorm_Name,Type,Number_Students,Floors,Average_Room_Size,Availability,Occupancy,Room_Style,AC,Bathroom,Kitchen,Elevator,Open_During_Breaks,URL
Busch,Allen Hall,Dorm,217,4,216,First-Year,2,double,Air Cooled,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/allen-hall
Busch,B.E.S.T Neighborhood,Dorm,499,4,273,First-Year,4,double,Yes,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/best-neighborhood
Busch,Barr Hall,Dorm,220,4,216,First-Year,2,double,Air Cooled,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/barr-hall
Busch,Buell Apartments,Apartment,348,3,135,Graduate,4,single,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/buell-apartments
Busch,Crosby Suites,Suite,177,4,216,Continuing,6,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/crosby-suites
Busch,Johnson Apartments,Apartment,136,2,110,Graduate,2,single,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/johnson-apartments
Busch,Judson Suites,Suite,177,4,216,Continuing,6,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/judson-suites
Busch,Mattia Hall,Dorm,221,4,216,First-Year,2,double,Air Cooled,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mattia-hall
Busch,McCormick Suites,Suite,288,10,216,"Continuing, First-Year, Honors",6,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/mccormick-suites
Busch,Metzger Hall,Dorm,220,4,216,"Continuing, First-Year",2,double,Air Cooled,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/metzger-hall
Busch,Morrow Suites,Suite,177,4,216,"Continuing, First-Year",6,double,Air Cooled,Private ,Communal,No,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/morrow-suites
Busch,Nichols Apartments,Apartment,237,3,198,Continuing,4,double,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/nichols-apartments
Busch,Richardson Apartments,Apartment,522,3,198,Continuing,2,single,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/richardson-apartments
Busch,Silvers Apartments,Apartment,475,4,192,Continuing,4,double,Air Cooled,Private ,Yes,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/silvers-apartments
Busch,Thomas Suites,Suite,177,4,216,Continuing,6,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/thomas-suites
Busch,Winkler Suites,Suite,177,4,216,Continuing,6,double,Air Cooled,Private ,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/busch-campus/winkler-suites
Livingston,Livingston Apartments,Apartment,1488,Up to 7,Varies,"Continuing, Graduate",4,single,Yes,Private ,Yes,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/livingston-apartments
